"6100","2008-2009",97,94.3
"6110","2008-2009",92.9,94.3
"6200","2008-2009",96.1,94.3
"6210","2008-2009",93.4,94.3
"6220","2008-2009",95.4,94.3
"6230","2008-2009",89.7,94.3
"6240","2008-2009",95.8,94.3
"6250","2008-2009",95.6,94.3
"6260","2008-2009",93.2,94.3
"6270","2008-2009",94.6,94.3
"6280","2008-2009",95.3,94.3
"6300","2008-2009",95.3,94.3
"6310","2008-2009",95.9,94.3
"6320","2008-2009",87.8,94.3
"6330","2008-2009",94.2,94.3
"6340","2008-2009",92.8,94.3
"6350","2008-2009",94.5,94.3
