"1350","2009-2010",7,1,0,4,1
"7440","2009-2010",3,0,0,0,0
"1030","2009-2010",11,1,2,3,1
"2690","2010-2011",3,0,0,0,0
"1130","2009-2010",7,1,2,0,0
"2410","2009-2010",0,0,0,0,0
"5070","2010-2011",6,1,0,0,0
"7100","2008-2009",10,0,2,2,0
"6090","2008-2009",3,2,0,1,0
"2320","2008-2009",4,0,0,1,0
"2390","2008-2009",32,0,0,2,0
"5280","2008-2009",26,0,1,1,2
"7290","2008-2009",9,0,0,0,1
"6220","2008-2009",6,0,0,2,0
"6280","2008-2009",25,0,1,2,0
"7500","2008-2009",7,0,0,3,0
"7530","2008-2009",7,0,0,2,0
"7730","2008-2009",17,4,1,3,0
"5340","2008-2009",6,0,0,0,0
"2020","2008-2009",3,0,0,0,2
"2640","2008-2009",2,0,0,0,1
"1020","2008-2009",38,7,0,8,6
"1110","2008-2009",15,1,3,3,1
"5490","2008-2009",28,2,0,1,0
"5090","2008-2009",4,0,0,1,0
"5550","2008-2009",12,2,0,1,0
"6340","2008-2009",4,0,1,0,0
"6400","2008-2009",0,0,0,0,0
"6410","2008-2009",1,0,0,1,0
"8250","2008-2009",2,0,0,1,0
"2720","2008-2009",5,0,0,1,0
"2730","2008-2009",4,1,0,0,0
"1200","2008-2009",60,0,0,1,1
"4240","2008-2009",3,0,0,1,0
"4280","2008-2009",3,0,1,0,0
"4320","2008-2009",19,0,1,0,1
"5590","2008-2009",10,0,0,3,0
"5150","2008-2009",3,0,0,1,0
"5200","2008-2009",4,0,0,2,0
"6450","2008-2009",7,0,0,0,0
"6460","2008-2009",2,0,0,0,0
"7360","2011-2012",5,1,1,1,0
"2200","2011-2012",24,0,16,4,4
"4450","2011-2012",12,0,0,1,1
"6470","2011-2012",3,1,1,4,4
"8270","2011-2012",5,0,2,2,0
"1050","2011-2012",5,1,2,0,5
"5080","2011-2012",3,0,0,0,2
"6280","2011-2012",11,0,1,0,2
"2240","2011-2012",12,0,2,1,0
"6230","2011-2012",6,0,1,1,1
"6270","2011-2012",1,0,0,3,0
"8430","2011-2012",2,0,1,1,0
"7150","2011-2012",8,0,0,1,0
"4150","2011-2012",0,0,0,2,0
"8250","2011-2012",3,0,1,3,0
"8260","2011-2012",1,0,1,0,0
"2470","2011-2012",2,0,1,1,0
"6480","2011-2012",1,0,2,0,0
"6320","2011-2012",6,0,0,0,0
"8350","2011-2012",7,1,1,2,0
"6310","2011-2012",1,0,0,1,1
"7290","2011-2012",9,0,0,2,2
"5470","2011-2012",6,0,0,3,2
"2370","2011-2012",39,1,2,5,1
"7100","2011-2012",10,2,8,5,3
"8200","2011-2012",23,2,2,4,3
"7370","2011-2012",19,1,3,9,4
"4140","2011-2012",26,1,3,8,11
"7500","2011-2012",9,5,3,0,0
"1530","2011-2012",18,0,0,1,0
"5490","2010-2011",9,0,0,1,0
"5520","2010-2011",6,0,0,5,3
"8430","2010-2011",1,0,0,0,0
"1110","2010-2011",15,0,0,3,2
"1150","2010-2011",14,2,0,0,0
"2260","2010-2011",3,0,0,1,0
"5560","2010-2011",1,0,0,0,0
"7330","2010-2011",11,0,0,1,0
"6020","2010-2011",23,20,1,7,0
"6070","2010-2011",5,1,0,1,0
"2410","2010-2011",0,0,0,0,0
"2470","2010-2011",1,0,0,1,0
